id,State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransport,WorkAtHome,Mean,Employment,PrivateWork,PublicWork,selfEmployed,FamilyWork,Unemployment
1,Alabama,4830620,2341093,2489527,3.252238806,65.53283582,28.47164179,0.597014925,0.644776119,0.025373134,3620994,37973.13433,2250.343284,20780.9403,1029.791045,21.76268657,31.66865672,27.6880597,16.93134328,22.6880597,11.86716418,20.84179104,84.75970149,10.19253731,0.280597015,1.243283582,1.134328358,2.386567164,25.92985075,30183.95522,77.11940299,16.81492537,5.825373134,0.23880597,11.31044776
2,Alaska,733375,384160,349215,4.603448276,49.34137931,1.417241379,30.75172414,5.951724138,0.64137931,523946,64197.10345,5383.310345,30332.96552,2260.586207,13.34137931,16.8862069,31.7,17.96551724,19.8137931,15.11034483,15.4,46.81724138,12.13448276,1.068965517,23.87586207,9.755172414,6.35862069,11.22758621,12107.17241,59.65172414,32.63448276,7.424137931,0.293103448,9.855172414
4,Arizona,6641928,3299088,3342840,30.43333333,51.54666667,1.766666667,13.18,1.246666667,0.12,4526594,43252.2,1892.666667,21052.53333,728.5333333,21.3,29.74,29.84666667,22.04,23.42666667,13.62,11.09333333,76.58666667,11.56,0.946666667,3.333333333,2.42,5.173333333,21.72,187560.4,70.77333333,22.92666667,6.14,0.173333333,11.96666667
5,Arkansas,2958208,1451913,1506295,4.936,76.15466667,16.06933333,0.48,0.68,0.068,2164083,36626.48,2590.266667,20072.02667,1247.32,21.552,31.41066667,27.73333333,17.908,21.796,13.31733333,19.23866667,81.072,11.90133333,0.34,2.142666667,1.326666667,3.216,23.168,16747.74667,74.32533333,17.70533333,7.748,0.217333333,8.982666667
6,California,38421464,19087135,19334329,29.51896552,55.55689655,2.987931034,1.579310345,6.898275862,0.343103448,24280349,56013.15517,2242.12069,27902.60345,947.1724138,16.67068966,21.59482759,33.99137931,20.57758621,22.3,12.42413793,10.70517241,73.20172414,11.30344828,2.798275862,3.579310345,2.693103448,6.436206897,24.96551724,297351.0345,70.27068966,19.77758621,9.510344828,0.470689655,10.8
8,Colorado,5278906,2648667,2630239,19.703125,74.9765625,1.615625,0.865625,1.065625,0.115625,3750953,51263.1875,3863.390625,27747.25,2083.265625,14.3859375,18.984375,34.4859375,19.6140625,21.86875,14.5125,9.5125,70.6,11.209375,1.753125,6.26875,2.4765625,7.6953125,21.1703125,41006.8125,70.9109375,18.859375,9.8640625,0.359375,7.45625
9,Connecticut,3593222,1751607,1841615,10.8875,76.9625,6.4,0.1125,3.425,0,2574178,71184.125,1449.75,37025.125,662.625,9.4,12.2,40.6,18.125,23.1,8.1875,10,80.1625,7.9375,3.1375,3.3,1.0375,4.3875,25.4875,222677.125,78.8125,14.55,6.4,0.1875,8.1625
10,Delaware,926454,448413,478041,8.3,66.1,19.8,0.366666667,2.733333333,0,681606,58067.66667,1100.333333,28952,494,12.5,18.9,35.26666667,19.36666667,23.83333333,9.666666667,11.9,81.86666667,8.533333333,2.133333333,2.066666667,1.2,4.2,25.53333333,144605.3333,78.9,16.46666667,4.466666667,0.166666667,7.933333333
11,District of Columbia,647484,306674,340810,10.2,35.6,48,0.2,3.6,0,485116,70848,843,47675,568,18,26.7,60.9,15.2,17.4,2.9,3.7,33.7,5.7,37.4,12.9,5.2,5,29.7,337815,70,25.4,4.4,0.1,9.6
12,Florida,19645772,9600009,10045763,13.25522388,68.67462687,14.26567164,0.371641791,1.508955224,0.050746269,13933052,44046.47761,1992.38806,23501.85075,991.0895522,18.25074627,26.51641791,30.69104478,21.61044776,25.18358209,11.85970149,10.65671642,79.54029851,10.9641791,1.073134328,1.549253731,2.325373134,4.534328358,25.94776119,127481.9552,75.41044776,18.1761194,6.241791045,0.168656716,10.38358209
